section_id,section,retry_status,anchor_lat,anchor_lon,anchor_basis,best_score,best_km_from_expected,best_query,best_lat,best_lon,best_name,best_category,best_type,best_place_rank,other_candidates
HYDERABAD_CENTRAL_AMBERPET,AMBERPET,found,17.40397,78.47718,circle (7 sections),4.33,4.33,"Amberpet, Hyderabad",17.3978928,78.5175088,"Ward 84 Bagh Amberpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Amberpet mandal, Hyderabad, Telangana, 353535, India",boundary,administrative,20.0,"[{""score"": 5.16, ""km_from_expected"": 5.16, ""query"": ""Amberpet, Hyderabad"", ""lat"": 17.385699, ""lon"": 78.5218948, ""name"": ""Ward 83 Amberpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Amberpet mandal, Hyderabad, Telangana, 500013, India"", ""category"": ""boundary"", ""type"": ""administrative"", ""place_rank"": 20}, {""score"": 14.14, ""km_from_expected"": 4.14, ""query"": ""Amberpet, Hyderabad"", ""lat"": 17.3861776, ""lon"": 78.5114709, ""name"": ""Amberpet mandal, Hyderabad, Telangana, India"", ""category"": ""boundary"", ""type"": ""administrative"", ""place_rank"": 12}]"
HYDERABAD_CENTRAL_GOLCONDA,GOLCONDA,found,17.40397,78.47718,circle (7 sections),7.8,7.8,"Golconda, Hyderabad",17.3873294,78.4057336,"Golconda, Ward 67 Golconda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Golconda mandal, Hyderabad, Telangana, 500008, India",place,suburb,19.0,"[{""score"": 17.32, ""km_from_expected"": 7.32, ""query"": ""Golconda, Hyderabad"", ""lat"": 17.3823146, ""lon"": 78.4120254, ""name"": ""Golconda mandal, Hyderabad, Telangana, 500048, India"", ""category"": ""boundary"", ""type"": ""administrative"", ""place_rank"": 12}]"
HYDERABAD_CENTRAL_LANGER_HOUSE,LANGER HOUSE,found,17.40397,78.47718,circle (7 sections),10.53,7.53,"Langer House, Hyderabad",17.37331,78.41387,"ICICI Bank Langer House, Hyderabad - Branch & ATM, NH163, Reddy Colony, Golconda, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Golconda mandal, Hyderabad, Telangana, 500008, India",amenity,bank,30.0,"[{""score"": 14.54, ""km_from_expected"": 6.54, ""query"": ""Langerhouse, Hyderabad"", ""lat"": 17.3913353, ""lon"": 78.4169957, ""name"": ""Ibrahim Bagh CH,Langerhouse, Karwan (Basti Dawakhana), Amina Masjid, Akbarpura, Golconda, Ward 67 Golconda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500008, India"", ""category"": ""amenity"", ""type"": ""health_post"", ""place_rank"": 30}]"
HYDERABAD_CENTRAL_RETHI_BOWLI,RETHI BOWLI,found,17.40397,78.47718,circle (7 sections),5.24,5.24,"Rethibowli, Hyderabad",17.3937454,78.4289691,"Rethibowli, Mehdipatnam, Ward 70 Mehdipatnam, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500028, India",place,neighbourhood,24.0,"[{""score"": 8.0, ""km_from_expected"": 5.0, ""query"": ""Rethibowli, Hyderabad"", ""lat"": 17.3957045, ""lon"": 78.4308438, ""name"": ""Rethibowli, Golkonda Road, P&T Colony, Mehdipatnam, Ward 70 Mehdipatnam, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500028, India"", ""category"": ""highway"", ""type"": ""bus_stop"", ""place_rank"": 30}, {""score"": 8.01, ""km_from_expected"": 5.01, ""query"": ""Rethibowli, Hyderabad"", ""lat"": 17.3960184, ""lon"": 78.4307445, ""name"": ""Rethibowli, Golkonda Road, Ward 69 Nanal Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500028, India"", ""category"": ""highway"", ""type"": ""bus_stop"", ""place_rank"": 30}, {""score"": 13.4, ""km_from_expected"": 5.4, ""query"": ""Rethibowli, Hyderabad"", ""lat"": 17.3959377, ""lon"": 78.4270188, ""name"": ""Nanalnagar, Old Bombay Highway, Yousufain Hills, Tolichowki, Ward 69 Nanal Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500028, India"", ""category"": ""highway"", ""type"": ""bus_stop"", ""place_rank"": 30}]"
HYDERABAD_CENTRAL_SHAIKPET,SHAIKPET,found,17.40397,78.47718,circle (7 sections),8.12,8.12,"Shaikpet, Hyderabad",17.4057955,78.4006536,"Shaikpet, Ward 94 Shaikpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500110, India",place,suburb,19.0,"[{""score"": 12.87, ""km_from_expected"": 4.87, ""query"": ""Shaikpet, Mehdipatnam"", ""lat"": 17.4004458, ""lon"": 78.4313969, ""name"": ""Mehdipatnam Garrison, Ward 69 Nanal Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, India"", ""category"": ""landuse"", ""type"": ""military"", ""place_rank"": 24}, {""score"": 13.41, ""km_from_expected"": 5.41, ""query"": ""Shaikpet, Mehdipatnam"", ""lat"": 17.3906951, ""lon"": 78.4281251, ""name"": ""Sun Beam Kids, 61, House No. B/7, Paramount Classic Residency, Lane Adjacent to Bowl Of, China & 777 Cafe, Nanal Nagar, Karol Bagh Road, Padmanabha Nagar, Mehdipatnam, Hyderabad, Telangana 500008, Khader Bagh road, Ward 69 Nanal Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500008, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 15.37, ""km_from_expected"": 5.37, ""query"": ""Shaikpet, Hyderabad"", ""lat"": 17.4134056, ""lon"": 78.4275478, ""name"": ""Shaikpet mandal, Hyderabad, Telangana, India"", ""category"": ""boundary"", ""type"": ""administrative"", ""place_rank"": 12}]"
HYDERABAD_CENTRAL_SHANKARMUTT,SHANKARMUTT,not_found,17.40397,78.47718,circle (7 sections),,,,,,,,,,[]
HYDERABAD_CENTRAL_SURYANAGAR,SURYANAGAR,found,17.40397,78.47718,circle (7 sections),11.97,8.97,"Suryanagar, Hyderabad",17.3933139,78.5610005,"SuryaNagar Colony Road, Saraswati Colony, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500060, India",highway,secondary,26.0,"[{""score"": 12.13, ""km_from_expected"": 9.13, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.399865, ""lon"": 78.5631254, ""name"": ""SuryaNagar Colony Road, Laxma Reddy Colony, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500039, India"", ""category"": ""highway"", ""type"": ""secondary"", ""place_rank"": 26}, {""score"": 14.56, ""km_from_expected"": 11.56, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.444727, ""lon"": 78.5773972, ""name"": ""Suryanagar, FCI Godown Road, Chandrapuri Colony, Ward 5 Mallapur, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500076, India"", ""category"": ""amenity"", ""type"": ""childcare"", ""place_rank"": 30}, {""score"": 15.81, ""km_from_expected"": 12.81, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.5158639, ""lon"": 78.506077, ""name"": ""Suryanagar (ward no-23), Surya Nagar Colony Road, Macha Bolarum, Bolarum, Ward 133 Macha Bolarum, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Alwal mandal, Medchal\u2013Malkajgiri, Telangana, 500100, India"", ""category"": ""amenity"", ""type"": ""childcare"", ""place_rank"": 30}]"
HYDERABAD_CENTRAL_VIJAYA_NAGAR_COLONY,VIJAYA NAGAR COLONY,found,17.40397,78.47718,circle (7 sections),7.05,4.05,"Vijaya Nagar Colony, Mehdipatnam",17.3893119,78.4422313,"Sri Vijaya Hospitals, Hill colony Rd, Murad Nagar, Gudimalkapur, Ward 70 Mehdipatnam, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500028, India",amenity,hospital,30.0,"[{""score"": 7.24, ""km_from_expected"": 4.24, ""query"": ""Vijaya Nagar Colony, Mehdipatnam"", ""lat"": 17.3946261, ""lon"": 78.4384798, ""name"": ""Vijaya Diagnostic Centre, Golkonda Road, P&T Colony, Mehdipatnam, Ward 70 Mehdipatnam, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500028, India"", ""category"": ""amenity"", ""type"": ""hospital"", ""place_rank"": 30}, {""score"": 16.37, ""km_from_expected"": 13.37, ""query"": ""Vijaya Nagar Colony, Hyderabad"", ""lat"": 17.3304768, ""lon"": 78.5768552, ""name"": ""vijaya fancy store, S.No, 24, Kamala Nagar Rd, Huda Sai Nagar Colony, Hyderabad, Telangana 500070, Raithu Bazar Road, Raithu Bazar, Vanasthalipuram, Ward 13 Hayath Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Ranga Reddy, Telangana, 500070, India"", ""category"": ""shop"", ""type"": ""fashion_accessories"", ""place_rank"": 30}]"
HYDERABAD_SOUTH_CHANDRAYANA_GUTTA,CHANDRAYANA GUTTA,found,17.33734,78.47648,subdivision (2 sections),1.5,1.5,"Chandrayangutta, Hyderabad",17.3246955,78.4813558,"Chandrayangutta, Ward 43 Chandrayangutta, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bandlaguda mandal, Hyderabad, Telangana, 500005, India",place,suburb,19.0,"[{""score"": 7.39, ""km_from_expected"": 4.39, ""query"": ""Chandrayanagutta, Hyderabad"", ""lat"": 17.3354173, ""lon"": 78.517776, ""name"": ""Chandrayanagutta Sub Station, rci road, Mithila Nagar, Karmanghat, Jillelaguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Bandlaguda mandal, Hyderabad, Telangana, 500097, India"", ""category"": ""building"", ""type"": ""substation"", ""place_rank"": 30}, {""score"": 8.3, ""km_from_expected"": 5.3, ""query"": ""Chandrayanagutta, Hyderabad"", ""lat"": 17.3071827, ""lon"": 78.4378724, ""name"": ""Nimra Colony Chandrayanagutta  (Basti Dawakhana), Temple Road, Katedan, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India"", ""category"": ""amenity"", ""type"": ""health_post"", ""place_rank"": 30}, {""score"": 12.32, ""km_from_expected"": 4.32, ""query"": ""Chandrayanagutta, Hyderabad"", ""lat"": 17.3757979, ""lon"": 78.4710462, ""name"": ""Fathima Nagar , Chandrayanagutta (Basthi Dawakhana), Begum Bazar Road, Feelkhana, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana, 500012, India"", ""category"": ""amenity"", ""type"": ""health_post"", ""place_rank"": 30}]"
HYDERABAD_SOUTH_DATTATREYA_COLONY,DATTATREYA COLONY,found,17.37601,78.46478,division (3 sections),16.29,16.29,"Dattatreya Colony, Hyderabad",17.5110985,78.4052903,"Dattatreya Colony, Gajularamaram, Ward 124 Alwyn Colony, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 501002, India",place,neighbourhood,24.0,"[{""score"": 17.19, ""km_from_expected"": 17.19, ""query"": ""Dattatreya Nagar, Hyderabad"", ""lat"": 17.3377719, ""lon"": 78.6217464, ""name"": ""Dattatreya Nagar, Ward 13 Hayath Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Ranga Reddy, Telangana, 501505, India"", ""category"": ""place"", ""type"": ""neighbourhood"", ""place_rank"": 24}]"
